glyph_name,ps_name,sort_design,sort_final
theNCree-cans,uni155F,,
thi-cans,uni1560,,
thiNCree-cans,uni1561,,
thii-cans,uni1562,,
thiiNCree-cans,uni1563,,
tho-cans,uni1564,,
thoo-cans,uni1565,,
tha-cans,uni1566,,
thaa-cans,uni1567,,
thwaa-cans,uni1568,,
thwaaWestCree-cans,uni1569,,
th-cans,uni156A,,
tthe-cans,uni156B,,
tthi-cans,uni156C,,
ttho-cans,uni156D,,
ttha-cans,uni156E,,
tth-cans,uni156F,,
tsaCarrier-cans,uni1660,,
chuCarrier-cans,uni1661,,
choCarrier-cans,uni1662,,
cheCarrier-cans,uni1663,,
cheeCarrier-cans,uni1664,,
chiCarrier-cans,uni1665,,
chaCarrier-cans,uni1666,,
ttsuCarrier-cans,uni1667,,
ttsoCarrier-cans,uni1668,,
ttseCarrier-cans,uni1669,,
ttseeCarrier-cans,uni166A,,
ttsiCarrier-cans,uni166B,,
ttsaCarrier-cans,uni166C,,
chisign-cans,uni166D,,
fullstop-cans,uni166E,,
qai-cans,uni166F,,
uni1EA0,uni1EA0,11036.25,11036.25
uni1EA1,uni1EA1,11068.25,11068.25
uni1EA2,uni1EA2,11036.27,11036.27
uni1EA3,uni1EA3,11068.27,11068.27
uni1EA4,uni1EA4,11036.19,11036.19
uni1EA5,uni1EA5,11068.19,11068.19
uni1EA6,uni1EA6,11036.21,11036.21
uni1EA7,uni1EA7,11068.21,11068.21
uni1EA8,uni1EA8,11036.22,11036.22
uni1EA9,uni1EA9,11068.22,11068.22
uni1EAA,uni1EAA,11036.23,11036.23
uni1EAB,uni1EAB,11068.23,11068.23
uni1EAC,uni1EAC,11036.2,11036.2
uni1EAD,uni1EAD,11068.2,11068.2
uni1EAE,uni1EAE,11036.13,11036.13
uni1EAF,uni1EAF,11068.13,11068.13
uni1EB0,uni1EB0,11036.15,11036.15
uni1EB1,uni1EB1,11068.15,11068.15
uni1EB2,uni1EB2,11036.16,11036.16
uni1EB3,uni1EB3,11068.16,11068.16
uni1EB4,uni1EB4,11036.17,11036.17
uni1EB5,uni1EB5,11068.17,11068.17
uni1EB6,uni1EB6,11036.14,11036.14
uni1EB7,uni1EB7,11068.14,11068.14
uni1EB8,uni1EB8,11040.27,11040.27
uni1EB9,uni1EB9,11072.19,11072.19
uni1EBA,uni1EBA,11040.29,11040.29
uni1EBB,uni1EBB,11072.21,11072.21
uni1EBC,uni1EBC,11040.3,11040.3
uni1EBD,uni1EBD,11072.22,11072.22
uni1EBE,uni1EBE,11040.21,11040.21
uni1EBF,uni1EBF,11072.13,11072.13
uni1EC0,uni1EC0,11040.23,11040.23
uni1EC1,uni1EC1,11072.15,11072.15
uni1EC2,uni1EC2,11040.24,11040.24
uni1EC3,uni1EC3,11072.16,11072.16
uni1EC4,uni1EC4,11040.25,11040.25
uni1EC5,uni1EC5,11072.17,11072.17
uni1EC6,uni1EC6,11040.22,11040.22
uni1EC7,uni1EC7,11072.14,11072.14
uni1EC8,uni1EC8,11044.11,11044.11
uni1EC9,uni1EC9,11076.17,11076.17
uni1ECA,uni1ECA,11044.11,11044.11
uni1ECB,uni1ECB,11076.15,11076.15
uni1ECC,uni1ECC,11050.19,11050.19
uni1ECD,uni1ECD,11082.19,11082.19
uni1ECE,uni1ECE,11050.21,11050.21
uni1ECF,uni1ECF,11082.21,11082.21
uni1ED0,uni1ED0,11050.13,11050.13
uni1ED1,uni1ED1,11082.13,11082.13
uni1ED2,uni1ED2,11050.15,11050.15
uni1ED3,uni1ED3,11082.15,11082.15
uni1ED4,uni1ED4,11050.16,11050.16
uni1ED5,uni1ED5,11082.16,11082.16
uni1ED6,uni1ED6,11050.17,11050.17
uni1ED7,uni1ED7,11082.17,11082.17
uni1ED8,uni1ED8,11050.14,11050.14
uni1ED9,uni1ED9,11082.14,11082.14
uni1EDA,uni1EDA,11050.23,11050.23
uni1EDB,uni1EDB,11082.23,11082.23
uni1EDC,uni1EDC,11050.25,11050.25
uni1EDD,uni1EDD,11082.25,11082.25
uni1EDE,uni1EDE,11050.26,11050.26
uni1EDF,uni1EDF,11082.26,11082.26
uni1EE0,uni1EE0,11050.27,11050.27
uni1EE1,uni1EE1,11082.27,11082.27
uni1EE2,uni1EE2,11050.24,11050.24
uni1EE3,uni1EE3,11082.24,11082.24
uni1EE4,uni1EE4,11056.14,11056.14
uni1EE5,uni1EE5,11088.14,11088.14
uni1EE6,uni1EE6,11056.16,11056.16
uni1EE7,uni1EE7,11088.16,11088.16
uni1EE8,uni1EE8,11056.18,11056.18
uni1EE9,uni1EE9,11088.18,11088.18
uni1EEA,uni1EEA,11056.2,11056.2
uni1EEB,uni1EEB,11088.2,11088.2
uni1EEC,uni1EEC,11056.21,11056.21
uni1EED,uni1EED,11088.21,11088.21
uni1EEE,uni1EEE,11056.22,11056.22
uni1EEF,uni1EEF,11088.22,11088.22
uni1EF0,uni1EF0,11056.19,11056.19
uni1EF1,uni1EF1,11088.19,11088.19
Ygrave,Ygrave,11060.14,11060.14
ygrave,ygrave,11092.14,11092.14
uni1EF4,uni1EF4,11060.13,11060.13
uni1EF5,uni1EF5,11092.13,11092.13
uni1EF6,uni1EF6,11060.15,11060.15
uni1EF7,uni1EF7,11092.15,11092.15
uni1EF8,uni1EF8,11060.17,11060.17
uni1EF9,uni1EF9,11092.16,11092.16
zerowidthspace,uni200B,19424.1,19424.1
zerowidthnonjoiner,uni200C,19423.1,19423.1
zerowidthjoiner,uni200D,19421.1,19421.1
nonbreakinghyphen,uni2011,15670.2,15670.2
lineseparator,uni2028,19507.1,19507.1
paragraphseparator,uni2029,19511.1,19511.1
wordjoiner,uni2060,19420.1,19420.1
divisionslash,uni2215,16395.1,16395.1
bulletoperator,uni2219,15390.4,15390.4
dottedcircle,uni25CC,10210,210
.heightcontrol,uni261D,,
VS1,uniFE00,19401.1,19401.1
VS2,uniFE01,19402.1,19402.1
VS3,uniFE02,19403.1,19403.1
VS4,uniFE03,19404.1,19404.1
VS5,uniFE04,19405.1,19405.1
VS6,uniFE05,19406.1,19406.1
VS7,uniFE06,19407.1,19407.1
VS8,uniFE07,19408.1,19408.1
VS9,uniFE08,19409.1,19409.1
VS10,uniFE09,19410.1,19410.1
VS11,uniFE0A,19411.1,19411.1
VS12,uniFE0B,19412.1,19412.1
VS13,uniFE0C,19413.1,19413.1
VS14,uniFE0D,19414.1,19414.1
VS15,uniFE0E,19415.1,19415.1
